Trade Date,Daily_Volume,Daily_Trades,Avg_Trade_Size,Unique_Stocks,Avg_Price
2023-01-03,1091510.9,27,40426.33,4,1209.3
2023-01-04,1234696.05,72,17148.56,12,454.89
2023-01-05,419643.15,19,22086.48,2,596.09
2023-01-06,612166.15,20,30608.31,3,627.09
2023-01-09,412123.05,41,10051.78,4,947.53
2023-01-10,206627.35,9,22958.59,2,519.62
2023-01-11,408768.5,34,12022.6,3,607.34
2023-01-12,529788.9,29,18268.58,4,1276.49
2023-01-13,169598.05,14,12114.15,1,448.6
2023-01-16,1012316.1,34,29774.0,4,2088.01
2023-01-17,1343949.9,35,38398.57,5,1708.46
2023-01-18,1248379.05,34,36717.03,3,689.94
2023-01-19,1171133.6,58,20191.96,8,965.41
2023-01-20,957237.25,25,38289.49,4,2966.33
2023-01-23,1223401.8,53,23083.05,7,1478.79
2023-01-24,405574.15,22,18435.19,2,1182.59
2023-01-27,1832520.7,75,24433.61,5,1039.31
2023-01-30,917475.6,49,18723.99,4,423.03
2023-01-31,1703520.55,52,32760.01,6,1514.36
2023-02-01,1910428.05,96,19900.29,8,1256.62
2023-02-02,1881394.8,91,20674.67,5,1581.68
2023-02-03,1360565.45,112,12147.91,4,542.1
2023-02-06,1168804.85,90,12986.72,4,630.62
2023-02-07,1559710.4,54,28883.53,6,372.88
2023-02-08,859732.15,55,15631.49,9,708.12
2023-02-09,1032389.45,40,25809.74,8,851.41
2023-02-10,823318.1,56,14702.11,8,930.3
2023-02-13,2258535.05,79,28589.05,10,506.06
2023-02-14,445584.1,20,22279.2,1,467.1
2023-02-15,853378.0,84,10159.26,7,385.74
2023-02-16,438833.85,35,12538.11,2,1483.84
2023-02-17,1029148.3,126,8167.84,5,719.16
2023-02-20,736752.05,62,11883.1,5,999.56
2023-02-21,424334.0,47,9028.38,9,813.18
2023-02-22,400989.0,37,10837.54,8,1013.66
2023-02-23,299033.25,28,10679.76,6,656.04
2023-02-24,400429.95,45,8898.44,8,467.05
2023-02-27,725881.15,52,13959.25,9,821.79
2023-02-28,893079.1,74,12068.64,12,744.92
2023-03-01,654682.05,99,6612.95,8,977.08
2023-03-02,1027675.85,83,12381.64,8,520.96
2023-03-03,375330.0,44,8530.23,7,627.13
2023-03-06,537932.4,55,9780.59,10,372.13
2023-03-08,462517.15,43,10756.21,8,1168.05
2023-03-09,584904.75,55,10634.63,11,689.87
2023-03-10,556608.2,56,9939.43,7,711.13
2023-03-13,22042.2,13,1695.55,5,576.91
2023-03-15,2843196.25,171,16626.88,9,710.11
2023-03-16,3517428.05,293,12004.87,11,436.23
2023-03-20,2513472.2,166,15141.4,7,590.9
2023-03-21,1746347.0,145,12043.77,10,476.83
2023-03-22,2786010.15,221,12606.38,9,576.65
2023-03-23,1632422.05,130,12557.09,9,379.41
2023-03-24,1558178.95,104,14982.49,9,1437.46
2023-03-27,1185217.1,150,7901.45,8,821.39
2023-03-28,1752015.7,199,8804.1,8,386.44
2023-03-29,2949264.05,226,13049.84,6,208.3
2023-03-31,1440754.65,89,16188.25,6,929.72
2023-04-06,2375305.35,164,14483.57,7,812.65
2023-04-10,840940.7,65,12937.55,4,366.07
2023-04-11,567018.7,82,6914.86,2,678.19
2023-04-12,1700912.7,153,11117.08,8,581.56
2023-04-13,1910433.75,118,16190.12,6,1920.83
2023-04-17,2596518.15,122,21282.94,5,1133.89
2023-04-18,1437343.15,86,16713.29,9,883.91
2023-04-19,3220595.4,128,25160.9,11,1030.07
2023-04-20,3833490.85,299,12821.04,12,1125.4
2023-04-21,885913.5,37,23943.61,4,928.26
2023-04-24,1121140.4,56,20020.36,7,766.62
2023-04-25,2853037.05,138,20674.18,8,737.69
2023-04-26,3742122.6,190,19695.38,13,410.53
2023-04-27,2571356.55,83,30980.2,9,655.0
