,Trade Value,Trade Value,Trade Value,Trade Value,Quantity,Quantity,Price,Price,Price,Price,Trade Date,Trade Date
,sum,count,mean,std,sum,mean,min,max,mean,std,min,max
Symbol,,,,,,,,,,,,
AARTIDRUGS,1373561.25,111,12374.43,16862.07,3480,31.35,336.85,470.4,393.7,36.79,2023-03-24,2023-05-12
AARTIPHARM,710.6,2,355.3,1.41,2,1.0,354.3,356.3,355.3,1.41,2023-05-23,2023-05-23
ABB,416012.9,18,23111.83,19608.53,144,8.0,2884.0,2893.8,2889.95,4.62,2023-02-01,2023-02-01
ABCAPITAL,3934.45,4,983.61,942.39,22,5.5,167.2,180.0,173.72,7.22,2023-04-28,2023-06-19
ABFRL,224083.6,7,32011.94,37324.32,1020,145.71,218.25,220.05,219.59,0.66,2023-04-10,2023-04-10
ADANIENT,670409.8,10,67040.98,53171.09,210,21.0,2944.9,3317.05,3131.74,192.36,2023-01-27,2023-01-31
ADANIGREEN,247095.0,7,35299.29,48361.78,114,16.29,2160.0,2175.0,2162.14,5.67,2023-01-17,2023-01-17
ADANIPORTS,370230.45,18,20568.36,21414.36,538,29.89,582.65,771.75,683.57,83.68,2023-01-23,2023-03-06
ADANITRANS,496541.3,9,55171.26,56912.79,182,20.22,2728.0,2728.8,2728.29,0.3,2023-01-17,2023-01-17
ADORWELD,133907.75,21,6376.56,5171.28,110,5.24,1215.6,1219.4,1217.58,1.74,2023-06-07,2023-06-07
ADSL,211878.1,19,11151.48,22044.79,1920,101.05,109.1,111.45,109.59,0.81,2023-06-28,2023-06-28
AEGISCHEM,375856.3,34,11054.6,27183.04,962,28.29,390.0,401.5,391.28,2.49,2023-03-23,2023-05-09
AETHER,455825.8,6,75970.97,82203.11,420,70.0,1019.4,1089.1,1076.7,28.12,2023-06-21,2023-06-21
AIAENG,55523.85,5,11104.77,10394.09,20,4.0,2772.5,2780.25,2775.58,4.06,2023-03-10,2023-03-10
AJANTPHARM,148608.2,28,5307.44,4809.3,126,4.5,1167.0,1199.85,1180.6,13.97,2023-03-08,2023-03-27
