Unnamed: 0,Symbol,ISIN,Trade Date,Exchange,Segment,Series,Trade Type,Auction,Quantity,Price,Trade ID,Order ID,Order Execution Time,Trade Value,Hour
,JTLINFRA,INE391J01024,2022-01-03,NSE,EQ,EQ,buy,False,6,219.6,50814531,1200000003408224,2022-01-03T09:52:06,1317.6,9
,JTLINFRA,INE391J01024,2022-01-03,NSE,EQ,EQ,buy,False,4,219.6,50814530,1200000003408224,2022-01-03T09:52:06,878.4,9
,ONGC,INE213A01029,2022-01-04,NSE,EQ,EQ,buy,False,10,146.95,50808290,1200000002686682,2022-01-04T09:37:44,1469.5,9
,NTPC,INE733E01010,2022-01-04,NSE,EQ,EQ,buy,False,10,129.6,51073552,1200000003628481,2022-01-04T09:47:10,1296.0,9
,NTPC,INE733E01010,2022-01-04,NSE,EQ,EQ,sell,False,10,132.05,53981902,1200000015209269,2022-01-04T14:08:55,1320.5,14
,ONGC,INE213A01029,2022-01-04,NSE,EQ,EQ,sell,False,10,147.2,53983662,1200000015215204,2022-01-04T14:09:03,1472.0,14
,THERMAX,INE152A01029,2022-01-05,NSE,EQ,EQ,buy,False,10,1914.6,75602557,1300000002087333,2022-01-05T09:28:35,19146.0,9
,IOC,INE242A01010,2022-01-05,NSE,EQ,EQ,buy,False,5,117.05,26045455,1100000003474695,2022-01-05T09:46:02,585.25,9
,GAIL,INE129A01019,2022-01-05,NSE,EQ,EQ,buy,False,5,133.95,26098608,1100000003664625,2022-01-05T09:48:30,669.75,9
,SONATSOFTW,INE269A01021,2022-01-05,NSE,EQ,EQ,buy,False,1,891.4,76265086,1300000004671036,2022-01-05T09:56:15,891.4,9
,LICHSGFIN,INE115A01026,2022-01-05,NSE,EQ,EQ,buy,False,21,382.2,52382769,1200000009397670,2022-01-05T11:41:30,8026.2,11
,LICHSGFIN,INE115A01026,2022-01-05,NSE,EQ,EQ,buy,False,4,382.15,52382768,1200000009397670,2022-01-05T11:41:30,1528.6,11
,THERMAX,INE152A01029,2022-01-05,NSE,EQ,EQ,sell,False,10,1866.5,78029186,1300000011569000,2022-01-05T12:16:35,18665.0,12
,SONATSOFTW,INE269A01021,2022-01-05,NSE,EQ,EQ,sell,False,1,881.0,78088146,1300000011744061,2022-01-05T12:21:04,881.0,12
,LICHSGFIN,INE115A01026,2022-01-05,NSE,EQ,EQ,sell,False,25,381.55,52897643,1200000010861613,2022-01-05T12:35:13,9538.75,12
,TVSMOTOR,INE494B01023,2022-01-05,NSE,EQ,EQ,buy,False,3,637.65,79604390,1300000017280270,2022-01-05T14:31:28,1912.9499999999998,14
,TVSMOTOR,INE494B01023,2022-01-05,NSE,EQ,EQ,buy,False,2,637.65,79605082,1300000017280270,2022-01-05T14:31:33,1275.3,14
,ONGC,INE213A01029,2022-01-05,NSE,EQ,EQ,buy,False,5,149.3,54102197,1200000016136354,2022-01-05T14:34:50,746.5,14
,BANDHANBNK,INE545U01014,2022-01-05,NSE,EQ,EQ,buy,False,5,257.6,3990379,1000000015953122,2022-01-05T14:38:07,1288.0,14
,IDFCFIRSTB,INE092T01019,2022-01-05,NSE,EQ,EQ,buy,False,10,49.7,30240728,1100000016827424,2022-01-05T14:40:09,497.0,14
,ABB,INE117A01022,2022-01-05,NSE,EQ,EQ,buy,False,7,2235.0,4078358,1000000016291804,2022-01-05T14:45:59,15645.0,14
,BANDHANBNK,INE545U01014,2022-01-05,NSE,EQ,EQ,sell,False,5,260.55,4128797,1000000016461542,2022-01-05T14:50:04,1302.75,14
,ABB,INE117A01022,2022-01-05,NSE,EQ,EQ,sell,False,7,2230.0,4137178,1000000016493624,2022-01-05T14:50:51,15610.0,14
,TVSMOTOR,INE494B01023,2022-01-05,NSE,EQ,EQ,sell,False,5,639.7,79971474,1300000018341805,2022-01-05T14:59:20,3198.5,14
,ITC,INE154A01025,2022-01-05,NSE,EQ,EQ,buy,False,10,220.7,30635475,1100000017922861,2022-01-05T15:04:55,2207.0,15
,BPCL,INE029A01011,2022-01-05,NSE,EQ,EQ,buy,False,10,393.65,4397971,1000000017296974,2022-01-05T15:09:42,3936.5,15
,ITC,INE154A01025,2022-01-05,NSE,EQ,EQ,sell,False,10,220.7,30835755,1100000018437867,2022-01-05T15:14:05,2207.0,15
,JSWSTEEL,INE019A01038,2022-01-05,NSE,EQ,EQ,buy,False,10,695.2,54746003,1200000017897786,2022-01-05T15:17:54,6952.0,15
,ONGC,INE213A01029,2022-01-05,NSE,EQ,EQ,sell,False,5,150.3,54755014,1200000018009830,2022-01-05T15:18:13,751.5,15
,IDFCFIRSTB,INE092T01019,2022-01-05,NSE,EQ,EQ,sell,False,10,49.75,30963478,1100000018669092,2022-01-05T15:18:29,497.5,15
,JSWSTEEL,INE019A01038,2022-01-05,NSE,EQ,EQ,sell,False,10,696.3,54810330,1200000018048814,2022-01-05T15:20:04,6963.0,15
,BPCL,INE029A01011,2022-01-05,NSE,EQ,EQ,sell,False,10,395.25,4650304,1000000017793581,2022-01-05T15:21:18,3952.5,15
,MGL,INE002S01010,2022-01-06,NSE,EQ,EQ,buy,False,10,880.0,50141756,1200000000506411,2022-01-06T09:16:51,8800.0,9
,MGL,INE002S01010,2022-01-06,NSE,EQ,EQ,sell,False,10,880.7,50224645,1200000000648930,2022-01-06T09:18:55,8807.0,9
,UPL,INE628A01036,2022-01-06,NSE,EQ,EQ,buy,False,2,765.3,75384482,1300000001265591,2022-01-06T09:20:48,1530.6,9
,UPL,INE628A01036,2022-01-06,NSE,EQ,EQ,buy,False,8,765.3,75384485,1300000001265591,2022-01-06T09:20:48,6122.4,9
,UPL,INE628A01036,2022-01-06,NSE,EQ,EQ,sell,False,10,767.0,75415007,1300000001382309,2022-01-06T09:21:37,7670.0,9
,BHARTIARTL,INE397D01024,2022-01-06,NSE,EQ,EQ,buy,False,10,707.5,321887,1000000001094038,2022-01-06T09:22:16,7075.0,9
,INDUSTOWER,INE121J01017,2022-01-06,NSE,EQ,EQ,buy,False,1,257.0,25461678,1100000001475137,2022-01-06T09:23:41,257.0,9
,BHARTIARTL,INE397D01024,2022-01-06,NSE,EQ,EQ,sell,False,10,708.0,403450,1000000001184318,2022-01-06T09:25:36,7080.0,9
,TATACOMM,INE151A01013,2022-01-06,NSE,EQ,EQ,buy,False,10,1529.05,75590921,1300000002001935,2022-01-06T09:26:38,15290.5,9
,MGL,INE002S01010,2022-01-06,NSE,EQ,EQ,buy,False,50,878.85,50474654,1200000001736388,2022-01-06T09:28:09,43942.5,9
,INDUSTOWER,INE121J01017,2022-01-06,NSE,EQ,EQ,sell,False,1,257.0,25696168,1100000002361090,2022-01-06T09:32:01,257.0,9
,TATACOMM,INE151A01013,2022-01-06,NSE,EQ,EQ,sell,False,10,1500.0,76025346,1300000003557529,2022-01-06T09:41:07,15000.0,9
,MGL,INE002S01010,2022-01-06,NSE,EQ,EQ,sell,False,10,874.0,50802812,1200000001789174,2022-01-06T09:42:21,8740.0,9
,TATACOMM,INE151A01013,2022-01-06,NSE,EQ,EQ,buy,False,10,1505.0,76094468,1300000003825921,2022-01-06T09:43:35,15050.0,9
,MGL,INE002S01010,2022-01-06,NSE,EQ,EQ,sell,False,40,875.0,50951325,1200000003424702,2022-01-06T09:50:18,35000.0,9
,TATACOMM,INE151A01013,2022-01-06,NSE,EQ,EQ,sell,False,10,1500.0,76279711,1300000004412184,2022-01-06T09:51:41,15000.0,9
,HINDALCO,INE038A01020,2022-01-06,NSE,EQ,EQ,buy,False,1,484.2,26176123,1100000004177076,2022-01-06T09:53:55,484.2,9
,TVSMOTOR,INE494B01023,2022-01-06,NSE,EQ,EQ,buy,False,1,641.5,76566988,1300000005660067,2022-01-06T10:06:22,641.5,10
,HINDALCO,INE038A01020,2022-01-06,NSE,EQ,EQ,sell,False,1,483.0,26416269,1100000004773290,2022-01-06T10:07:34,483.0,10
,NATCOPHARM,INE987B01026,2022-01-06,NSE,EQ,EQ,buy,False,1,919.5,51291584,1200000004538437,2022-01-06T10:11:10,919.5,10
,FEDERALBNK,INE171A01029,2022-01-06,NSE,EQ,EQ,buy,False,5,90.15,26479419,1100000005277164,2022-01-06T10:11:20,450.75,10
,TVSMOTOR,INE494B01023,2022-01-06,NSE,EQ,EQ,sell,False,1,641.45,76681906,1300000006062143,2022-01-06T10:12:46,641.45,10
,NATCOPHARM,INE987B01026,2022-01-06,NSE,EQ,EQ,sell,False,1,919.2,51316910,1200000005027850,2022-01-06T10:12:58,919.2,10
,CONCOR,INE111A01025,2022-01-06,NSE,EQ,EQ,buy,False,1,637.4,1283449,1000000005137574,2022-01-06T10:16:23,637.4,10
