,Trade Value,Trade Value,Trade Value,Quantity
,sum,count,mean,sum
Symbol,,,,
AARTIDRUGS,1058791.2,125,8470.33,2224
ABB,31255.0,2,15627.5,14
ABCAPITAL,2378.4,5,475.68,22
ABFRL,20033.6,4,5008.4,60
ACC,172680.65,6,28780.11,80
ADANIENT,10484271.05,216,48538.29,3034
ADANIGREEN,10080957.7,238,42356.97,4498
ADANIPORTS,5992249.75,137,43739.05,7364
ADANITRANS,2681120.0,110,24373.82,824
ADVENZYMES,843788.75,159,5306.85,2860
AEGISCHEM,357292.85,46,7767.24,1304
AEGISLOG,189129.4,15,12608.63,664
AFFLE,71547.45,8,8943.43,62
AIAENG,292575.1,19,15398.69,110
AJANTPHARM,2396.85,2,1198.42,2
ALLCARGO,1411098.3,45,31357.74,3602
AMARAJABAT,246088.45,12,20507.37,374
AMBUJACEM,1471239.1,60,24520.65,4050
ANANDRATHI,1283.35,2,641.67,2
ANURAS,241261.15,21,11488.63,300
APOLLOHOSP,971265.65,40,24281.64,216
APOLLOTYRE,737869.55,24,30744.56,2650
APTUS,447758.45,84,5330.46,1422
ASAHIINDIA,115666.35,7,16523.76,190
ASHOKLEY,267410.65,30,8913.69,1812
ASIANPAINT,1273151.5,50,25463.03,420
ASTERDM,2976075.4,137,21723.18,11624
ASTRAL,632226.65,33,19158.38,310
ASTRAZEN,101259.65,8,12657.46,30
ATGL,368501.8,18,20472.32,112
AUBANK,1417063.4,93,15237.24,1960
AUROPHARMA,248259.7,14,17732.84,380
AXISBANK,1073217.15,39,27518.39,1470
BAJAJ-AUTO,411579.55,20,20578.98,110
BAJAJFINSV,1256860.3,29,43340.01,552
BAJAJHLDNG,300082.7,13,23083.28,44
BAJFINANCE,356155.0,3,118718.33,60
BALKRISIND,1077629.8,81,13304.07,464
BALRAMCHIN,413108.55,7,59015.51,1020
BANDHANBNK,1945547.3,68,28610.99,6670
BANKBARODA,5989638.25,174,34423.21,47436
BANKINDIA,1167484.0,38,30723.26,14320
BATAINDIA,682412.5,36,18955.9,364
BBTC,18782.8,3,6260.93,20
BDL,1147057.2,38,30185.72,1222
BEL,301316.35,19,15858.76,2440
BERGEPAINT,735085.7,26,28272.53,1112
BHARATFORG,3426964.3,168,20398.6,4668
BHARTIARTL,2083063.4,46,45283.99,2788
BHEL,392780.0,17,23104.71,5000
BIOCON,1175950.85,40,29398.77,3762
BLUESTARCO,240604.15,26,9254.01,220
BORORENEW,12118.2,5,2423.64,22
BOSCHLTD,640536.35,14,45752.6,40
BPCL,3200014.8,81,39506.36,9070
BRIGADE,472309.65,54,8746.48,1002
BRITANNIA,691105.45,18,38394.75,182
BSOFT,692367.7,32,21636.49,2242
CADILAHC,348732.9,14,24909.49,1000
CAMPUS,681982.5,17,40116.62,1142
CANBK,5721241.15,161,35535.66,23740
CASTROLIND,148313.15,4,37078.29,1200
CEATLTD,213766.1,20,10688.3,140
CENTRALBK,688383.75,30,22946.12,26600
CGPOWER,93570.0,3,31190.0,400
CHALET,74165.0,27,2746.85,200
CHEMPLASTS,232736.45,26,8951.4,500
CHOLAFIN,4659892.7,175,26627.96,6880
CIPLA,2096506.55,57,36780.82,2020
CLEAN,320824.9,31,10349.19,222
COALINDIA,1351516.55,27,50056.17,7082
COCHINSHIP,867753.15,27,32139.01,1460
COFORGE,4065027.3,110,36954.79,1058
COLPAL,2247422.85,80,28092.79,1412
CONCOR,1593428.75,38,41932.34,2156
COROMANDEL,21327.45,3,7109.15,20
CROMPTON,921956.05,68,13558.18,2422
CUB,831527.05,72,11548.99,5442
CUMMINSIND,429773.1,12,35814.42,302
DABUR,2664918.5,91,29284.82,4732
DALBHARAT,205659.0,9,22851.0,120
DEEPAKNTR,211450.55,3,70483.52,100
DEVYANI,44110.35,7,6301.48,222
DIVISLAB,574121.65,8,71765.21,158
DLF,1885279.5,50,37705.59,4874
DMART,989894.5,16,61868.41,248
DRREDDY,405933.4,8,50741.68,90
EASEMYTRIP,524408.45,23,22800.37,1260
ECLERX,624844.4,40,15621.11,440
EDELWEISS,13660.0,2,6830.0,200
EICHERMOT,2948560.9,70,42122.3,906
EIDPARRY,9921.0,2,4960.5,20
EIHOTEL,717262.1,86,8340.26,3842
ELGIEQUIP,1615789.75,111,14556.66,3180
ENGINERSIN,78141.05,10,7814.1,1040
EPL,261872.05,22,11903.28,1420
ESCORTS,2125752.75,71,29940.18,1126
EXIDEIND,584605.55,31,18858.24,3620
FACT,1749198.7,46,38026.06,8040
FDC,252617.05,28,9022.04,900
FEDERALBNK,2251381.95,82,27455.88,22222
FINCABLES,89110.6,22,4050.48,160
FINPIPE,791235.85,55,14386.11,4400
FLUOROCHEM,42574.8,7,6082.11,12
FORTIS,187852.8,17,11050.16,660
FSL,2171.0,2,1085.5,20
GAEL,473140.8,31,15262.61,1840
GAIL,657287.45,31,21202.82,5207
GESHIP,712300.15,47,15155.32,1100
GICRE,956786.55,49,19526.26,5320
GLENMARK,1216259.1,75,16216.79,3120
GLS,736121.2,61,12067.56,1800
GNFC,10828.5,2,5414.25,20
GODFRYPHLP,86051.75,6,14341.96,50
GODREJCP,987622.55,48,20575.47,1142
GODREJPROP,1233360.4,34,36275.31,944
GRANULES,336184.35,17,19775.55,1002
GRASIM,1038207.1,35,29663.06,658
GREAVESCOT,3290.0,2,1645.0,20
GRINDWELL,4134.15,2,2067.07,2
GSFC,486713.4,26,18719.75,3600
GSPL,854461.0,82,10420.26,3520
GUJALKALI,186248.15,11,16931.65,200
GUJGAS,237000.0,9,26333.33,470
GUJGASLTD,20977.55,6,3496.26,42
HAL,640964.7,26,24652.49,338
HAPPSTMNDS,390442.0,20,19522.1,400
HAVELLS,691715.85,41,16871.12,562
HCLTECH,2248138.95,67,33554.31,2172
HDFC,1254041.05,35,35829.74,514
HDFCBANK,176394.15,11,16035.83,122
HDFCLIFE,248124.2,13,19086.48,402
HEMIPROP,222339.7,15,14822.65,2020
HEROMOTOCO,2045775.45,49,41750.52,768
HIKAL,94577.1,15,6305.14,240
HINDALCO,6341660.7,144,44039.31,14498
HINDCOPPER,248239.6,13,19095.35,2200
HINDPETRO,2226704.0,103,21618.49,8820
HINDUNILVR,1405944.05,39,36049.85,552
HINDZINC,666418.0,26,25631.46,2240
HOMEFIRST,510603.2,73,6994.56,700
HONAUT,750909.65,12,62575.8,18
HUDCO,1406485.75,53,26537.47,26370
IBREALEST,1088059.3,50,21761.19,13422
IBULHSGFIN,1924098.75,59,32611.84,14904
ICICIBANK,2447999.2,55,44509.08,3116
ICICIGI,255029.05,16,15939.32,220
ICICIPRULI,1007835.05,46,21909.46,1912
IDBI,461310.4,21,21967.16,8202
IDFC,1128146.5,23,49049.85,20000
IDFCFIRSTB,1298154.0,35,37090.11,25840
IEX,766437.6,35,21898.22,4920
IFBIND,104921.05,15,6994.74,100
IGL,4197569.2,133,31560.67,11284
IIFLWAM,111401.8,20,5570.09,60
INDHOTEL,73795.15,6,12299.19,222
INDIACEM,1675366.3,49,34191.15,6660
INDIAMART,44039.75,3,14679.92,10
INDIANB,1446532.65,57,25377.77,5440
INDIGO,298146.05,16,18634.13,164
INDIGOPNTS,343542.75,39,8808.79,220
INDUSINDBK,2189002.55,52,42096.2,2272
INDUSTOWER,674599.55,19,35505.24,3304
INFY,1091650.4,37,29504.06,730
INOXLEISUR,328443.9,41,8010.83,640
INTELLECT,62037.65,7,8862.52,104
IOB,473484.0,26,18210.92,15820
IOC,1058786.75,36,29410.74,9025
IRB,848686.75,40,21217.17,3222
IRCON,643097.6,44,14615.85,11420
IRCTC,908595.3,27,33651.68,1460
IRFC,1463695.0,73,20050.62,47800
ISEC,981617.7,84,11685.92,1820
ITC,2211881.45,61,36260.35,9192
ITI,341166.05,31,11005.36,3100
JBCHEPHARM,233473.45,14,16676.68,120
JINDALSTEL,2056102.9,55,37383.69,4938
JKLAKSHMI,127706.25,10,12770.62,150
JMFINANCIL,14840.0,3,4946.67,200
JSL,43888.55,5,8777.71,220
JSWENERGY,637978.3,28,22784.94,1904
JSWSTEEL,2544717.15,55,46267.58,3870
JTLINFRA,2196.0,2,1098.0,10
JUBLFOOD,232617.0,5,46523.4,240
JUBLINGREA,166464.1,7,23780.59,300
JUBLPHARMA,227675.8,42,5420.85,600
JUSTDIAL,35483.5,4,8870.88,60
KAJARIACER,98628.15,13,7586.78,82
KALPATPOWR,10024.0,2,5012.0,20
KALYANKJIL,712995.25,31,22999.85,6302
KEC,1110326.35,61,18202.07,2340
KIMS,254549.15,18,14141.62,200
KOTAKBANK,495058.5,5,99011.7,270
KPITTECH,2501161.25,114,21940.01,3582
L&TFH,589640.0,24,24568.33,7200
LALPATHLAB,949771.5,27,35176.72,374
LATENTVIEW,7469.65,5,1493.93,20
LAURUSLABS,294155.65,14,21011.12,622
LICHSGFIN,1226105.8,45,27246.8,3130
LICI,1531735.4,48,31911.15,2110
LODHA,2209.85,2,1104.92,2
LT,603443.1,17,35496.65,356
LTI,277585.4,7,39655.06,62
LTIM,510579.9,12,42548.32,120
LTTS,256403.4,9,28489.27,70
LUPIN,965479.55,43,22453.01,1332
LUXIND,105684.75,10,10568.48,62
LXCHEM,109088.85,14,7792.06,320
M&M,1883615.1,67,28113.66,1692
M&MFIN,1400628.25,47,29800.6,6812
MAHABANK,347083.2,23,15090.57,12800
MAHINDCIE,1492480.1,64,23320.0,5202
MAHLOG,330677.55,65,5087.35,642
MANAPPURAM,722527.75,35,20643.65,6020
MARICO,1144460.55,29,39464.16,2202
MARUTI,1045035.65,14,74645.4,128
MAXHEALTH,2576360.4,123,20946.02,5710
MAZDOCK,2626714.0,82,32033.1,3634
MCDOWELL-N,340840.25,31,10994.85,400
MEDPLUS,435226.45,67,6495.92,720
METROPOLIS,1486319.15,100,14863.19,962
MFSL,1888285.35,79,23902.35,2306
MGL,881268.35,71,12412.23,1022
MINDTREE,649423.55,20,32471.18,174
MPHASIS,1629230.45,53,30740.2,772
MTARTECH,406966.75,23,17694.21,240
MUTHOOTFIN,1474260.4,51,28907.07,1424
NATCOPHARM,371506.4,21,17690.78,622
NATIONALUM,828332.75,18,46018.49,10600
NAUKRI,113847.0,3,37949.0,30
NAVINFLUOR,102755.3,5,20551.06,22
NAZARA,415092.75,51,8139.07,612
NBCC,459000.0,30,15300.0,12000
NCC,81225.0,2,40612.5,1000
NESCO,1320.75,2,660.38,2
NETWORK18,760667.85,35,21733.37,10722
NHPC,8835.0,2,4417.5,200
NIACL,546100.15,58,9415.52,5420
NLCINDIA,127791.25,13,9830.1,1600
NMDC,842717.6,28,30097.06,5600
NTPC,593366.9,23,25798.56,4320
NYKAA,229246.35,25,9169.85,1036
OBEROIRLTY,1237072.35,72,17181.56,1342
OFSS,59411.65,7,8487.38,20
ONGC,2754801.15,89,30952.82,17824
PAYTM,572925.4,25,22917.02,990
PERSISTENT,555300.95,12,46275.08,142
PETRONET,540727.7,37,14614.26,2620
PFC,27040.0,3,9013.33,200
PHOENIXLTD,338085.85,24,14086.91,230
PIDILITIND,81007.5,2,40503.75,30
PIIND,305685.2,12,25473.77,120
PNB,4604728.5,157,29329.48,105692
PNBHOUSING,2440461.1,127,19216.23,6080
POLICYBZR,2096669.0,80,26208.36,5100
POONAWALLA,259797.7,19,13673.56,800
POWERGRID,1431886.1,27,53032.82,6580
PRESTIGE,197734.0,37,5344.16,442
PRINCEPIPE,133657.95,12,11138.16,220
PVR,755788.8,37,20426.72,426
QUESS,657085.45,28,23467.34,1000
RADICO,156057.35,20,7802.87,142
RAILTEL,275005.0,58,4741.47,2600
RALLIS,97036.1,6,16172.68,400
RAMCOCEM,418704.3,21,19938.3,600
RATNAMANI,38893.9,9,4321.54,20
RBA,73300.0,17,4311.76,600
RBLBANK,2655293.45,64,41488.96,24700
RCF,274759.0,16,17172.44,2240
RECLTD,133189.5,7,19027.07,1020
REDINGTON,61137.5,6,10189.58,400
RELIANCE,865162.45,16,54072.65,342
RENUKA,1351260.0,35,38607.43,21600
RHIM,432677.25,43,10062.26,560
RITES,637212.65,50,12744.25,1800
ROSSARI,273373.6,17,16080.8,360
ROUTE,109457.75,7,15636.82,80
RVNL,1439132.95,59,24392.08,23420
SAIL,3102722.75,72,43093.37,34462
SAPPHIRE,2754.05,2,1377.02,2
SAREGAMA,392121.95,40,9803.05,1022
SBICARD,799659.9,28,28559.28,892
SBILIFE,521913.65,26,20073.6,430
SBIN,5287488.3,117,45192.21,10214
SCHAEFFLER,36521.75,4,9130.44,12
SCI,645630.85,18,35868.38,4422
SHILPAMED,1301173.25,106,12275.22,4342
SIEMENS,352207.4,21,16771.78,120
SJVN,8007.0,3,2669.0,220
SOLARA,181804.85,33,5509.24,400
SONATSOFTW,3240.1,4,810.02,4
SPARC,442078.4,54,8186.64,1860
SRF,1216284.85,46,26440.98,514
SRTRANSFIN,2678838.55,93,28804.72,1946
STAR,94590.75,14,6756.48,302
STARHEALTH,339590.5,30,11319.68,482
STLTECH,259563.65,21,12360.17,1520
SUMICHEM,325665.2,9,36185.02,620
SUNPHARMA,2062685.45,56,36833.67,2266
SUNTECK,5217.0,2,2608.5,10
SUNTV,1806971.8,72,25096.83,3784
SUPREMEIND,4656.75,2,2328.38,2
SUVEN,307.5,4,76.88,4
SUVENPHAR,3138240.95,140,22416.01,6384
SWSOLAR,1039114.3,30,34637.14,3002
TATACHEM,553355.75,33,16768.36,524
TATACOMM,768854.15,28,27459.08,622
TATACONSUM,1424910.45,42,33926.44,1954
TATAMOTORS,1544553.6,32,48267.3,3458
TATAMTRDVR,533282.8,9,59253.64,2200
TATAPOWER,315985.0,19,16630.79,1370
TATASTEEL,403162.65,24,16798.44,650
TCNSBRANDS,1423.5,2,711.75,2
TCS,1145474.0,38,30144.05,348
TEAMLEASE,25708.8,5,5141.76,10
TECHM,1048437.55,42,24962.8,986
THERMAX,602382.65,31,19431.7,280
THYROCARE,1326230.6,75,17683.07,1970
TIINDIA,704667.85,30,23488.93,250
TIMKEN,1553927.3,47,33062.28,444
TITAN,913475.1,23,39716.31,368
TORNTPHARM,1730303.5,49,35312.32,1132
TORNTPOWER,789956.95,72,10971.62,1544
TRENT,1288060.35,39,33027.19,900
TRITURBINE,4893910.25,220,22245.05,18828
TRIVENI,1493427.1,95,15720.29,5322
TTKPRESTIG,1980.8,2,990.4,2
TVSMOTOR,1517711.9,53,28636.07,1412
UBL,867219.3,44,19709.53,520
UCOBANK,4565515.15,97,47067.17,141420
UFLEX,1549.0,2,774.5,2
UJJIVANSFB,21925.0,2,10962.5,1000
ULTRACEMCO,163935.6,6,27322.6,22
UNIONBANK,1444309.25,46,31398.03,17822
UPL,1245276.5,85,14650.31,1630
UTIAMC,556605.7,13,42815.82,840
VAIBHAVGBL,176456.7,36,4901.58,520
VAKRANGEE,1644968.55,116,14180.76,46160
VARROC,227266.55,28,8116.66,700
VBL,4212036.25,199,21166.01,3646
VEDL,794806.1,52,15284.73,2732
VGUARD,157516.7,24,6563.2,620
VIJAYA,679372.1,68,9990.77,1440
VOLTAS,565591.95,18,31421.78,640
WIPRO,2596907.3,46,56454.51,5154
ZEEL,1283413.2,52,24681.02,4946
ZOMATO,3181166.3,92,34577.89,51662
ZYDUSLIFE,902867.9,37,24401.84,2442
ZYDUSWELL,15825.05,6,2637.51,10
